result,state,turn
WW,OOOBBBOOOOOOOBOOOOOOOOWOOOOBOOOWOOOBBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
WW,OOOBBBOOOOOOOBOOOOOOOOWOOOOBWOOOOOOBBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,B
WW,OOOBBBOOOOOOOBOOOOOOOOOOOOOBWOOBOOOOBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
WW,OOOBBBOOOOOOOBWOOOOOOOOOOOOBWOOBOOOOBBWWKOWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,B
WW,OOOOBBOOOOOOOBWOOOOOOOOOOOOBWOBBOOOOBBWWKOWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
WW,OOOOBBOOOOOOOBWOOOOOOOOOOOOBWOBBOOOOBBWWTKWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,B
WW,OOOOBBOOOOOOOBWOOOOOOOOOOBOBWOBBOOOOBBWWTKWOBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
WW,OOOOBBOOOOOOOBWOOOOOOOOOOBOBWOBBOOOOBBWWTOWOBBOOOWOOOBOOOOWOOOOOOOOBKOOOOOOBBBOOO,B
WW,OOOOBBOOOOOOOBWOOOOOOOOOOBOBWOBBOOOOBBWWTOWOBBOOOWOOOOOOOOWOOOOOOOOBKOOBOOOBBBOOO,W
WW,OOOOBBOOOOOOOBWOOOOOOOOOOBOBWOBBOOOOBBWWTOWOBBOOOWOOOOOOOOWOOOOOOOOBOKOBOOOBBBOOO,B
WW,OOOOBBOOOOOOOBWOOOOOOOOOOBOBWOBBOOOOBBWWTOWOBBOOOWOOOOOOOOWOOOOOOOOBOKOBOOOBBOBOO,W
WW,OOOOBBOOOOOOOBWOOOOOOOOOOBOBWOBBOOOOBBWWTOWOBBOOOWOOOOOOOOOOOWOOOOOBOKOBOOOBBOBOO,B
WW,OOOOBBOOOOOOOBOOOOOOOOOBOOOBWOBBOOOOBBWWTOWOBBOOOWOOOOOOOOOOOWOOOOOBOKOBOOOBBOBOO,W
WW,OOOOBBOOOOOOOBOOOOOOOOOBOOOBWOBBOOOOBBWWTOWOBBOOOWOOOOOOOOOOOOOOOOOBOKOBOOOBBOOWO,B
WW,OOOOBBOOOOOOOBOOOOOOOOOBOOOBWOBBOOOOBBWWTOWOOBOOOWOOOOOOOOOOOOBOOOOBOKOBOOOBBOOWO,W
BW,OOOBBBOOOOOOOBOOOOOOOOWOOOOBOOOWOOOBBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
BW,OOOBBBOOOOOOOBOOOOOOOOWOOOOBWOOOOOOBBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,B
BW,OOOBBBOOOOOOOBOOOOOOOOOOOOOBWOOBOOOOBBWWKWWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,W
BW,OOOBBBOOOOOOOBWOOOOOOOOOOOOBWOOBOOOOBBWWKOWBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBBOOO,B
BW,OOOBBBOOOOOOOBWOOOOOOOOOOOOBWOOBOOOOBBWWKBOBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBOOOO,W
BW,OOWBBBOOOOOOOBWOOOOOOOOOOOOBWOOBOOOOBBOWKBOBBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBOOOO,B
BW,OOWBBBOOOOOOOBWOOOOOOOOOOOOBWOOBOOOOBBOWKBBOBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBOOOO,W
BW,OOWBBBOOOOOOWOWOOOOOOOOOOOOBWOOBOOOOBBOOKBBOBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBOOOO,B
BW,OOWBBBOOOOOOWOWOOOOOOOOOOOOBWOOBOOOOBOOBKBBOBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBOOOO,W
BW,OOWBBBOOOOOOWOWOOOOWOOOOOOOBOOOBOOOOBOOBKBBOBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBOOOO,B
BW,OOWBOBOOOOOOWOWOOOOWOOBOOOOBOOOBOOOOBOOBKBBOBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBOOOO,W
BW,OOOBOBOOOOOOWOWOOOOWOOBOOOOBOOOBOOOOBOWOKBBOBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOBBOOOO,B
BW,OOOBOBOOOOOOWOWOOOOWOOBOOOOBOOOBOOOOBOOBKBBOBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOOBOOOO,W
BW,OOOBOBOOOOOOWOWOOOOOOWBOOOOBOOOBOOOOBOOBKBBOBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOOBOOOO,B
BW,OOBOOBOOOOOOWOWOOOOOOWBOOOOBOOOBOOOOBOOBKBBOBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOOBOOOO,W
BW,OOBOOBOOOOOOWOOOOOOOOWOWOOOBOOOBOOOOBOOBKBBOBBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOOBOOOO,B
BW,OOBOOBOOOOOOWOOOOOOOOWOWOOOBOOOBOOOBBOOBKBBOOBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOOBOOOO,W
BW,OOBOOBOOOOOOWOOOOOWOOOOWOOOBOOOBOOOBBOOBKBBOOBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOOBOOOO,B
BW,OOOOOBOOOOOBOOOOOOWOOOOWOOOBOOOBOOOBBOOBKBBOOBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOOBOOOO,W
BW,OOOOOBOOOOOBOOOOOOOOOOWWOOOBOOOOOOOBBOOBKBBOOBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOOBOOOO,B
BW,OOOOOBOOOOOBOOOOOOOOOOOWOOOBOOOBOOOOBOOBKBBOOBOOOWOOOBOOOOWOOOOOOOOBOOOOOOOOBOOOO,W
BW,OOOOOBOOOOOBOOOOOOOOOOOWOOOBOOOBOOOOBOOBKBBOOBOOOWOOOBOWOOOOOOOOOOOBOOOOOOOOBOOOO,B
BW,OOOOOBOOOOOBOOOOOOOOOOOWOOOBOOOBOOOOBOOBKBBOOBOOOWBOOOOWOOOOOOOOOOOBOOOOOOOOBOOOO,W
BW,OOOOOBOOOOOBOOOOOOOOOOOWOOOBOOOBOOOOBOOBKBBOOBOOOWBOOOOOOOOOOOWOOOOBOOOOOOOOBOOOO,B
